year,flat_type,resale_price
2012-03,3 ROOM,336000
2012-03,3 ROOM,345000
2012-03,3 ROOM,347000
2012-03,3 ROOM,350000
2012-03,3 ROOM,350000
2012-03,3 ROOM,351800
2012-03,3 ROOM,357000
2012-03,3 ROOM,358000
2012-03,3 ROOM,358000
2012-03,3 ROOM,358888
2012-03,3 ROOM,360000
2012-03,3 ROOM,361000
2012-03,3 ROOM,363000
2012-03,4 ROOM,372000
2012-03,4 ROOM,376000
2012-03,4 ROOM,378500
2012-03,4 ROOM,380000
2012-03,4 ROOM,381000
2012-03,4 ROOM,383000
2012-03,4 ROOM,384000
2012-03,4 ROOM,384000
2012-03,4 ROOM,386000
2012-03,3 ROOM,390000
2012-03,4 ROOM,400000
2012-03,4 ROOM,400000
2012-03,4 ROOM,400888
2012-03,4 ROOM,402000
2012-03,4 ROOM,403000
2012-03,4 ROOM,404000
2012-03,4 ROOM,405000
2012-03,4 ROOM,410000
2012-03,4 ROOM,412000
2012-03,4 ROOM,415000
2012-03,4 ROOM,415000
2012-03,4 ROOM,418000
2012-03,4 ROOM,421000
2012-03,4 ROOM,422000
2012-03,4 ROOM,425000
2012-03,4 ROOM,425000
2012-03,4 ROOM,427000
2012-03,4 ROOM,427000
2012-03,4 ROOM,428000
2012-03,4 ROOM,434000
2012-03,4 ROOM,435000
2012-03,4 ROOM,435000
2012-03,4 ROOM,435000
2012-03,4 ROOM,436000
2012-03,4 ROOM,438000
2012-03,4 ROOM,438000
2012-03,4 ROOM,440000
2012-03,4 ROOM,440000
2012-03,4 ROOM,441000
2012-03,4 ROOM,442000
2012-03,4 ROOM,446000
2012-03,4 ROOM,450000
2012-03,4 ROOM,454000
2012-03,4 ROOM,455000
2012-03,4 ROOM,458000
2012-03,4 ROOM,458000
2012-03,4 ROOM,458500
2012-03,4 ROOM,460000
2012-03,4 ROOM,460000
2012-03,4 ROOM,463000
2012-03,4 ROOM,465000
2012-03,4 ROOM,471200
2012-03,4 ROOM,475000
